field_id,field_url,Code,Rue,Localité,Synthétique,Stabilisé,Situation,Acces voiture
A01,https://www.abssa.org/terrain/A01,A01 (ANDERLECHT                                                  ),Avenue d'Itterbeek,1070 Anderlecht,False,False,BON AIR,"Par le Ring Ouest, direction Paris, sortie Westland Shopping Center (n° 14) continuer tout droit, remonter vers le Ring et prendre à droite pour sortir vers Itterbeek. Prendre l'avenue d'Itterbeek au parc d'Anderlecht, passer le ring, reste 2 km. Le terrain se trouve à gauche, entre l'école Van Belle et Veeweyde."
A02,https://www.abssa.org/terrain/A02,A02 (ANDERLECHT                                                  ),Drève Olympique,1070 Anderlecht,False,False,STADE JESSE OWENS,"Par le ring Ouest, direction Paris, sortie 15 (Pede), prendre à droite puis 1ére à gauche rue de Neerpede. Au rond-point, suivre les flèches ""Déviation"" et faire le tour du lac (par la rue de Neerpede, la rue du Chaudron, la rue des poulets et la rue Scholle). On revient sur le 2éme rond-point (drève olympique) et prendre directement à droite. Le terrain se trouve en face de la piste de ski.
Par le ring direction Bruxelles, sortie Lennik-Erasme, passer le premier rondpoint et après 2ààm, prendre à droite la rue Scholle (indication : Amicale Golf Club). Longer le golf jusqu'au rondpoint (drève olympique) et prendre directement à droite. le terrain se trouve
en face de la piste de ski."
A03,https://www.abssa.org/terrain/A03,A03 (ANDERLECHT                                                  ),"Route de Lennik, 1015",1070 Anderlecht,False,False,COMPLEXE SPORTIF DE SAINT GILLES (BARKA),"Ring, sortie Hopital Erasme, après 300 m. en direction de Lennik, prendre à droite.
Venant de la chaussée de Mons, carrefour Av. Fr. Van Kalken, Bld. A. Briand, place Verdi, Bld. Théo Lambert, Bld. M. Carème, après l'hopital Erasme 400 m. en direction de Lennik."
A04,https://www.abssa.org/terrain/A04,A04 (ANDERLECHT                                                  ),"Chaussée de Mons, 1421",1070 Anderlecht,False,False,INSTITUT SAINT NICOLAS,"Par la chaussée de Mons, direction Halle, entrée au n° 1421 (à droite) en face de l'usine Coca Cola."
A05,https://www.abssa.org/terrain/A05,A05 (ANDERLECHT                                                  ),"Route de Lennik, 57",1070 Anderlecht,False,False,LA ROUE,"Par la chaussée de Mons, direction Halle, ensuite prendre la Route de Lennik.
L'entrée du complexe est située Rue Pierre Schlosser, 31."
A06,https://www.abssa.org/terrain/A06,A06 (ANDERLECHT                                                  ),"Rue du Transvaal, 39-41",1070 Bruxelles,True,False,STADE VERCAUTEREN,"En partant de la gare du Midi par l'avenue Fonsny en direction de Forest, prendre la première rue à droite (pont du chemin de fer) pour aller rejoindre la rue des Vétérinaires. Dans la rue des Vétérinaires, au rond-point, prendre la 3ème sortie (rue Emile Carpentier, puis la première à droite la rue du Transvaal."
A08,https://www.abssa.org/terrain/A08,A08 (ANDERLECHT                                                  ),Boulevard Théo Lambert,1070 Anderlecht,True,False,STADE VERDI (STADIUM),"Via la chaussée de Mons jusqu'à Veeweyde (carrefour Fr. Van Kalken). Prendre à droite le boulevard  A. Briand jusqu'à la Place Verdi, puis le Bld. Théo Lambert."
A09,https://www.abssa.org/terrain/A09,A09 (ANDERLECHT                                                  ),Rue du Chant d'Oiseau,1070 Anderlecht,False,False,COMPLEXE DU VOGELENZANG,"En venant de la Route de Lennik (Citroën) ou de la Chaussée de Mons (Ikea), prendre la direction du cimetière d'Anderlecht, emprunter le Boulevard Josse Leemans, au rond-point prendre la sortie pour la rue du Chant d'Oiseaux (Vogelenzang). L'entrée du complexe et des terrains se situe à +/- 500 m. sur la gauche."
A10,https://www.abssa.org/terrain/A10,A10 (AUDERGHEM                                                   ),"Chaussée de Wavre, 2057",1160 Auderghem,False,False,COMPLEXE DE L'ADEPS,L'accès au terrain se fait à partir du n° 2057 de la chaussée de Wavre (en face du stade communal d'Auderghem). L'accès au terrain se fait par l'arrière du bâtiment principal (où sont situés les vestiaires) il faut parcourir environ 300 mètres avant d'atteindre le terrain de football situé après la piste d'athlétisme et le terrain de hockey.
A11,https://www.abssa.org/terrain/A11,A11 (AUDERGHEM                                                   ),"Chaussée de Wavre, 1854",1160 Auderghem,False,False,COMPLEXE COMMUNAL,"En venant de Bruxelles par la chaussée de Wavre, rejoindre le du début de l'autoroute Bruxelles-Namur, utiliser la bande de droite pendant +/- 200 m. et descendre devant le bâtiment de l'ADEPS, puis passer par le tunnel à gauche (en dessous de l'autoroute). Le terrain se trouve à 200 m. Le stade est fléché."
